"GRUP_PROGRAMA","GRUP_PROGRAMA_DESCRIPCIO"
"34001","ADMINISTRACIÓ GENERAL ESPORTS"
"34101","ACTIVITAT ESPORTIVES, AJUTS ENTITATS I ESPORT ESCOLAR"
"34201","EQUIPAMENTS ESPORTIUS DE GESTIÓ DIRECTA"
"34202","EQUIPAMENTS ESPORTIUS DE GESTIÓ CEDIDA "
"34203","GESTIÓ DEL LLAC/PISCINA DEL PARC DE VALLPARADÍS"
"42201","PATRIMONI MUNICIPAL"
"42202","PARC AUDIOVISUAL"
"42203","PROMOCIÓ CIUTAT, INNOVACIÓ I ORBITAL 42 "
"43001",
"43101","PROMOCIÓ COMERCIAL "
"43102",
"43103",
"43104",
"43105",
"43106",
"43107",
"43108",
"43111","FIRES"
"43121","MERCAT INDEPENDENCIA"
"43122","MERCAT SANT PERE"
"43123","GENÈRIC MERCATS"
"43131","MERCAT MARTÍ L'HUMÀ"
"43201","PROMOCIÓ TURÍSTICA"
"43202","RUTES TURÍSTIQUES"
"43300",
"43301","PROMOCIÓ INDUSTRIAL"
"43302","LEGALITZACIÓ D'ACTIVITATS"
"43303","EMPRENEDURIA I ECONOMIA SOCIAL"
"43304","OFICINA ATENCIÓ EMPRESA"
"43901","RELACIONS EUROPEES I INTERNACIONALS"
"43902","DESPESES DIVERSES DINAMITZACIÓ TREBALLS EN XARXA"
"43903","PROMOCIÓ COMERCIAL"
"43955",
"44101",
"44111","TRANSPORTS"
"44200",
"46200","SMART CITIES"
"49101","FUNCIONAMENT SERVEI"
"49102","WEB TERRASSA.CAT"
"49103","EDICIONS MUNICIPALS"
"49104","CAMPANYES I ACCIONS DE COMUNICACIÓ"
"49105","VISQUEM/SORTIM "
"49106","SOCIETAT DE COMUNICACIÓ"
"49107","APORTACIÓ AL CONSORCI TDT"
"49108",
"49110",
"49111",
"49112",
"49113",
"49201","GESTIÓ DEL CONEIXEMENT"
"49202","UNIVERSITAT - RECERCA"
"49203","SOCIETAT DEL CONEIXEMENT"
"49204","INNOVACIÓ I ORBITAL 40"
"49205","INNOVACIÓ OBERTA-DISTRICTE"
"49206","PROJECCIÓ DE LA CIUTAT"
"49207",
"49301","CONSUM"
"49400",
"49401",
"91201","GABINET D'ALCALDIA"
"91202","CÀRRECS ELECTES"
"91203","SOLIDARITAT I COOPERACIÓ INTERNACIONAL"
"91301",
"91500",
"92001","COORDINACIÓ I SERV. CENTRALS GABINET"
"92002","COORDINACIÓ I SERV. CENTRALS ÀREA"
"92003","COORDINACIÓ I SERV. CENTRALS ÀREA"
"92004","SERV. JURÍDICS I SECRETARIA GENERAL"
"92005","MANTENIMENT SSII. INFRAESTRUCTURA I PROGRAMARI"
"92006","INNOVACIÓ, ACTUALITZACIÓ TECNOLÒGICA I ADMINISTRACIÓ ELECTRÒNICA"
"92007","PREVENCIÓ DE RISCOS LABORALS"
"92008","GESTIÓ DE RECURSOS HUMANS"
"92009","FORMACIÓ"
"92010","COORDINACIÓ I SERV. CENTRALS ÀREA"
"92011","COORDINACIÓ I SERVEIS CENTRALS ÀREA"
"92012","COORDINACIÓ I SERVEIS CENTRALS ÀREA"
"92055",
"92100",
"92201",
"92203",
"92204",
"92205",
"92206",
"92301",
"92302","POBLACIÓ, ESTADÍSTICA I CARTOGRAFIA "
"92311","PADRÓ D'HABITANTS"
"92312","GESTIO DELS PROCESSOS ELECTORALS"
"92313","POBLACIÓ, ESTADÍSTICA I CARTOGRAFIA"
"92401","GESTIÓ I ADMINISTRACIÓ"
"92402","QUALITAT DEMOCRÀTICA"
"92403","DINAMITZACIÓ TERRITORIAL I SUBVENCIONS"
"92404","ACTIVITATS"
"92405","USOS DEL TEMPS"
"92500",
"92501","ATENCIÓ CIUTADANA I NOTIFICACIÓ"
"92502","ATENCIO A LA CIUTADANIA, 010 I OACS "
"92503","SUPORT A LA SINDICATURA DE GREUGES"
"92601",
"92602",
"92701",
"92702",
"92703",
"92801",
"92802",
"92803",
"92805",
"92807",
"92808",
"92809",
"92900",
"92901","IMPREVISTOS I FUNCIONS NO CLASSIFICADES"
"92902",
"92904",
"93101","SERVEI ECONÒMIC I FINANCER"
"93102","INTERVENCIÓ MUNICIPAL"
"93201","GESTIÓ TRIBUTÀRIA"
"93202","CADASTRE"
"93203","INSPECCIÓ"
"93204","RECAPTACIÓ"
"93205",
"93206",
"93301","MANTENIMENT I EQUIPAMENTS CIVICS"
"93302","CONTRACTACIÓ I LOGISTICA"
"93303","PATRIMONI I MANTENIMENT"
"93304",
"93305","EQUIPAMENTS ÚS MULTIPLE"
"93400",
"93401","GESTIÓ DEL DEUTE I TRESORERIA"
